job_title,company_name,jobUrl,salary,location,postedTime,experienceLevel
React Developer INDIA REMOTE,Kovan Technology Solutions,https://in.linkedin.com/jobs/view/react-developer-india-remote-at-kovan-technology-solutions-4332087099,Not Disclosed,India,2025-10-27,N/A
AI Engineer,Fusemachines,https://in.linkedin.com/jobs/view/ai-engineer-at-fusemachines-4282134885,Not Disclosed,"Pune, Maharashtra, India",2025-08-08,N/A
Javascript Developer,People Prime Worldwide,https://in.linkedin.com/jobs/view/javascript-developer-at-people-prime-worldwide-4319117612,Not Disclosed,India,2025-10-28,N/A
HTML Coding Specialist - AI Trainer,Invisible Expert Marketplace,https://in.linkedin.com/jobs/view/html-coding-specialist-ai-trainer-at-invisible-expert-marketplace-4263902796,Not Disclosed,India,2025-10-23,N/A
Python Developer | APIs & Temporal Workers,"Venue Advantage, Inc.",https://in.linkedin.com/jobs/view/python-developer-apis-temporal-workers-at-venue-advantage-inc-4307611053,Not Disclosed,India,2025-10-01,N/A
Back End Developer,Andela,https://in.linkedin.com/jobs/view/back-end-developer-at-andela-4315932579,Not Disclosed,India,2025-10-22,N/A
Data Scientist,Fusemachines,https://in.linkedin.com/jobs/view/data-scientist-at-fusemachines-4286659669,Not Disclosed,"Pune, Maharashtra, India",2025-08-15,N/A
Full Stack Engineer,Smart Working,https://in.linkedin.com/jobs/view/full-stack-engineer-at-smart-working-4306384944,Not Disclosed,India,2025-09-29,N/A
Full Stack Developer - India,Halo Media,https://in.linkedin.com/jobs/view/full-stack-developer-india-at-halo-media-4318086434,Not Disclosed,India,2025-10-27,N/A
